# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8158
#@/user_id	3dec6ac1-e48f-48db-b571-d010f4307a57
a 	啊	c=78 d=10.1101 t=8158
a la bo 	阿拉伯	c=1 d=2.99122e-08 t=8158
a li 	阿里	c=5 d=2.44311e-08 t=8158
ai 	爱	c=0 d=8.27381e-08 t=8158
ai cun bu cun 	爱存不存	c=1 d=8.31529e-07 t=8158
an 	安	c=2 d=0.00516156 t=8158
an an 	暗暗	c=1 d=3.67242e-10 t=8158
an de 	暗的	c=1 d=3.39007e-10 t=8158
an jian 	按键	c=1 d=2.3939e-05 t=8158
an lao fen pei 	按劳分配	c=2 d=2.59334e-10 t=8158
an li 	案例	c=1 d=9.81367e-15 t=8158
an niu 	按钮	c=1 d=0.000407691 t=8158
an quan 	安全	c=10 d=0.891946 t=8158
an quan bao mi 	安全保密	c=1 d=9.05454e-09 t=8158
an yang 	安阳	c=7 d=3.62248 t=8158
an zhao 	按照	c=1 d=0.0584257 t=8158
an zhuang 	安装	c=6 d=2.49841 t=8158
an zhuo 	安卓	c=4 d=2.55717 t=8158
ao wu 	嗷呜	c=1 d=5.96668e-14 t=8158
ba 	吧	c=7 d=0.388513 t=8158
ba 	把	c=29 d=2.36339 t=8158
ba cheng 	八成	c=2 d=0.267998 t=8158
ba chu bai jia 	罢黜百家	c=1 d=7.50584e-08 t=8158
ba ga 	八嘎	c=1 d=2.00507e-08 t=8158
ba gu 	八股	c=0 d=1.09455e-05 t=8158
ba gu qu yi 	八股取义	c=1 d=0.000110003 t=8158
ba le 	拔了	c=1 d=0.249075 t=8158
ba qian 	把钱	c=1 d=8.21269e-08 t=8158
ba xiang 	八相	c=0 d=1.90728e-09 t=8158
ba xiang shi jie 	八相世界	c=1 d=1.91685e-08 t=8158
bai du 	百度	c=2 d=1.32534e-12 t=8158
bai ma si 	白马寺	c=1 d=1.20093e-07 t=8158
bai tian 	白天	c=2 d=0.323778 t=8158
bai tian e 	白天鹅	c=1 d=7.65877e-10 t=8158
bai wan xiong shi 	百万雄师	c=0 d=4.55252e-09 t=8158
ban 	办	c=1 d=0.860708 t=8158
ban 	版	c=3 d=6.60062e-06 t=8158
ban ben 	版本	c=9 d=0.995988 t=8158
ban biao 	班彪	c=1 d=1.09209e-07 t=8158
ban chao 	班超	c=2 d=2.18999e-07 t=8158
ban deng 	板凳	c=1 d=0.995012 t=8158
ban fa 	办法	c=1 d=1.12865e-12 t=8158
ban gong 	办公	c=3 d=1.89311e-14 t=8158
ban gu 	班固	c=1 d=1.09757e-07 t=8158
ban ji 	版记	c=1 d=1.73443e-08 t=8158
ban lang 	伴郎	c=3 d=2.94591 t=8158
ban liang 	半两	c=1 d=5.31579e-08 t=8158
ban quan 	版权	c=0 d=2.02522e-09 t=8158
ban quan 	阪泉	c=0 d=2.01512e-09 t=8158
ban quan zhi zhan 	版权之战	c=1 d=2.03538e-08 t=8158
ban quan zhi zhan 	阪泉之战	c=1 d=2.02522e-08 t=8158
ban si 	半死	c=1 d=7.30037e-05 t=8158
ban tian 	半天	c=1 d=4.47621e-15 t=8158
bang 	帮	c=3 d=0.0591616 t=8158
bang 	棒	c=0 d=0.0603506 t=8158
bang ding 	绑定	c=6 d=2.92929 t=8158
bang wo 	帮我	c=4 d=2.84923 t=8158
bao 	包	c=18 d=1.81379 t=8158
bao 	报	c=1 d=0.0119145 t=8158
bao chi 	保持	c=2 d=0.970446 t=8158
bao chou 	报仇	c=1 d=0.000236397 t=8158
bao cun 	保存	c=2 d=2.2283e-10 t=8158
bao cuo 	报错	c=4 d=2.64569 t=8158
bao de 	报的	c=3 d=1.89449 t=8158
bao guan li 	包管理	c=1 d=0.0017555 t=8158
bao jian 	保健	c=2 d=4.19541e-09 t=8158
bao lu 	暴露	c=2 d=0.00147096 t=8158
bao mi 	保密	c=1 d=9.28375e-09 t=8158
bao mi deng ji 	保密等级	c=1 d=1.76947e-08 t=8158
bao ming 	报名	c=1 d=5.48998e-05 t=8158
bao si 	褒姒	c=1 d=3.40648e-08 t=8158
bao ta zhen he yao 	宝塔镇河妖	c=1 d=1.94681e-14 t=8158
bao wen 	报文	c=1 d=1.58596e-14 t=8158
bao zha 	爆炸	c=1 d=4.65889e-15 t=8158
bao zheng 	保证	c=1 d=0.000678925 t=8158
bei 	倍	c=1 d=1.57291e-05 t=8158
bei 	呗	c=1 d=7.69716e-10 t=8158
bei 	被	c=20 d=4.19111 t=8158
bei an 	备案	c=3 d=0.0462537 t=8158
bei fen 	备份	c=2 d=1 t=8158
bei jie chi 	被劫持	c=1 d=1.38568e-14 t=8158
bei ju 	悲剧	c=1 d=9.93119e-08 t=8158
bei shui yi zhan 	背水一战	c=1 d=6.8256e-08 t=8158
bei zhua 	被抓	c=1 d=7.5227e-05 t=8158
ben 	本	c=1 d=5.99251e-06 t=8158
ben di 	本地	c=4 d=1 t=8158
ben ke 	本科	c=2 d=9.18825e-05 t=8158
ben yi 	本意	c=1 d=2.06186e-13 t=8158
ben zhi 	本质	c=1 d=0.00346515 t=8158
beng kui 	崩溃	c=1 d=0.131994 t=8158
bi 	比	c=2 d=4.4279e-05 t=8158
bi de 	彼得	c=4 d=1.39339e-08 t=8158
bi de yuan li 	彼得原理	c=1 d=3.59041e-09 t=8158
bi ji 	笔记	c=1 d=0.995012 t=8158
bi ji ben 	笔记本	c=6 d=0.000174619 t=8158
bi jiao 	比较	c=0 d=7.85265e-11 t=8158
bi jiao hao 	比较好	c=1 d=0.970446 t=8158
bi jiao ming xian 	比较明显	c=1 d=3.66169e-05 t=8158
bi jiao xuan xiang 	比较选项	c=1 d=7.89201e-10 t=8158
bi jing 	毕竟	c=1 d=0.000497955 t=8158
bi mian 	避免	c=1 d=9.80532e-05 t=8158
bi ming 	笔名	c=1 d=1 t=8158
bi ru 	比如	c=6 d=0.000593188 t=8158
bi xu 	必须	c=4 d=0.000894541 t=8158
bi yao 	必要	c=2 d=0.66741 t=8158
bi ye 	毕业	c=1 d=9.23431e-05 t=8158
bi you 	必有	c=1 d=8.40029e-09 t=8158
bi you yong fu 	必有勇夫	c=1 d=4.09874e-08 t=8158
bi yue xiu hua 	闭月羞花	c=1 d=1.02849e-07 t=8158
bi zhi 	壁纸	c=2 d=1.00006 t=8158
bian 	变	c=4 d=0.0692392 t=8158
bian bai 	变白	c=1 d=1.33135e-14 t=8158
bian cheng 	编程	c=2 d=0.990337 t=8158
bian dong 	变动	c=2 d=0.869358 t=8158
bian hao 	变好	c=0 d=5.24841e-06 t=8158
bian hao le 	变好了	c=1 d=5.27472e-05 t=8158
bian hua 	变化	c=0 d=2.32956e-09 t=8158
bian ji 	编辑	c=2 d=0.112885 t=8158
bian ji 	边际	c=1 d=1.25642e-09 t=8158
bian li 	遍历	c=1 d=1.97556e-10 t=8158
bian liang 	变量	c=7 d=1.67223 t=8158
bian xiang 	变相	c=1 d=0.0784731 t=8158
bian yi 	编译	c=6 d=0.99005 t=8158
bian zhi 	编制	c=1 d=1.30498e-14 t=8158
biao 	彪	c=1 d=1.08665e-07 t=8158
biao da shi 	表达式	c=1 d=1 t=8158
biao ji 	标记	c=2 d=0.0141368 t=8158
biao mei 	表妹	c=2 d=1.90256 t=8158
biao ti 	标题	c=1 d=1.58187e-13 t=8158
biao ti lan 	标题栏	c=2 d=0.932394 t=8158
biao zhi 	标志	c=2 d=2.45869e-08 t=8158
biao zhun 	标准	c=3 d=1.00091 t=8158
biao zhun ku 	标准库	c=2 d=1.99005 t=8158
bie 	别	c=2 d=0.947682 t=8158
bie de 	别的	c=1 d=0.677057 t=8158
bie ming 	别名	c=1 d=6.77633e-11 t=8158
bie niu 	别扭	c=1 d=2.34204e-12 t=8158
bie ren 	别人	c=5 d=0.0548542 t=8158
bie sheng 	别生	c=1 d=0.0174224 t=8158
bie ti 	别提	c=1 d=0.960789 t=8158
bing bu shi 	并不是	c=1 d=6.82677e-10 t=8158
bing fa 	并发	c=4 d=0.985112 t=8158
bing shu 	兵书	c=1 d=6.62388e-08 t=8158
bing xing 	并行	c=0 d=7.24768e-09 t=8158
bo fang 	播放	c=1 d=0.995012 t=8158
bo fang qi 	播放器	c=1 d=2.91786e-10 t=8158
bo ge 	伯格	c=0 d=1.95085e-10 t=8158
bo ke 	博客	c=7 d=4.07465 t=8158
bo xue 	剥削	c=1 d=2.2386e-10 t=8158
bu 	不	c=4 d=8.63114e-05 t=8158
bu cha 	不差	c=1 d=0.0169922 t=8158
bu chen zhi 	不称职	c=1 d=4.00789e-09 t=8158
bu chong 	不重	c=1 d=6.64102e-09 t=8158
bu cun 	不存	c=0 d=8.27381e-08 t=8158
bu cun zai 	不存在	c=2 d=0.00110822 t=8158
bu cuo 	不错	c=1 d=0.357007 t=8158
bu da 	不大	c=2 d=1.90737 t=8158
bu dao 	不到	c=1 d=2.23936e-14 t=8158
bu dei 	不得	c=1 d=9.80866e-09 t=8158
bu ding shi 	不定时	c=1 d=0.000837575 t=8158
bu dong 	不懂	c=1 d=0.955997 t=8158
bu dui 	部队	c=2 d=8.15202e-09 t=8158
bu gai 	不该	c=1 d=5.9216e-13 t=8158
bu gai bian 	不改变	c=2 d=9.01745e-11 t=8158
bu gan 	不敢	c=0 d=3.67117e-07 t=8158
bu gan geng 	不敢更	c=2 d=7.41623e-06 t=8158
bu guan 	不管	c=1 d=4.27706e-09 t=8158
bu gun yi xia 	不滚一下	c=1 d=0.000854495 t=8158
bu guo 	不过	c=2 d=0.000356206 t=8158
bu hui 	不会	c=4 d=0.538483 t=8158
bu jian yi 	不建议	c=1 d=2.23358e-13 t=8158
bu jing guo 	不经过	c=1 d=0.982759 t=8158
bu jiu 	不就	c=1 d=0.704688 t=8158
bu jiu shi 	不就是	c=0 d=1.08909e-05 t=8158
bu ju 	布局	c=1 d=3.38017e-05 t=8158
bu ka 	不卡	c=1 d=2.2007e-15 t=8158
bu kan hui shou 	不堪回首	c=1 d=0.00640933 t=8158
bu ke kao 	不可靠	c=1 d=0.860708 t=8158
bu liao 	不了	c=8 d=1.02982 t=8158
bu mai 	不买	c=1 d=0.00279479 t=8158
bu mai guo hang 	不买国行	c=1 d=9.59125e-10 t=8158
bu neng 	不能	c=11 d=2.46884 t=8158
bu qi lai 	不起来	c=0 d=4.15998e-07 t=8158
bu que 	不缺	c=0 d=0.00120342 t=8158
bu ran 	不然	c=4 d=0.976753 t=8158
bu ru 	不如	c=1 d=0.00790705 t=8158
bu ru hu xue yan de hu zi 	不入虎穴焉得虎子	c=1 d=1.14236e-07 t=8158
